"id","itemid","req_level","req_maker_level","req_meso","req_item","req_equip","catalyst","quantity","tuc"
0,4250000,45,1,110000,0,0,0,1,0
0,4250100,45,1,110000,0,0,0,1,0
0,4250200,45,1,110000,0,0,0,1,0
0,4250300,45,1,110000,0,0,0,1,0
0,4250400,45,1,110000,0,0,0,1,0
0,4250500,45,1,110000,0,0,0,1,0
0,4250600,45,1,110000,0,0,0,1,0
0,4250700,45,1,110000,0,0,0,1,0
0,4250800,45,1,110000,0,0,0,1,0
0,4250900,45,1,110000,0,0,0,1,0
0,4251000,45,1,110000,0,0,0,1,0
0,4251100,45,1,110000,0,0,0,1,0
0,4251300,75,2,164000,0,0,0,1,0
0,4251400,75,2,164000,0,0,0,1,0
0,4250001,45,1,328000,0,0,0,1,0
0,4250101,45,1,328000,0,0,0,1,0
0,4250201,45,1,328000,0,0,0,1,0
0,4250301,45,1,328000,0,0,0,1,0
0,4250401,45,1,328000,0,0,0,1,0
0,4250501,45,1,328000,0,0,0,1,0
0,4250601,45,1,328000,0,0,0,1,0
0,4250701,45,1,328000,0,0,0,1,0
0,4250801,45,1,328000,0,0,0,1,0
0,4250901,45,1,328000,0,0,0,1,0
0,4251001,45,1,328000,0,0,0,1,0
0,4251101,45,1,328000,0,0,0,1,0
0,4251301,75,2,491000,0,0,0,1,0
0,4251401,75,2,491000,0,0,0,1,0
0,4250002,45,2,546000,0,0,0,1,0
0,4250102,45,2,546000,0,0,0,1,0
0,4250202,45,2,546000,0,0,0,1,0
0,4250302,45,2,546000,0,0,0,1,0
0,4250402,45,2,546000,0,0,0,1,0
0,4250502,45,2,546000,0,0,0,1,0
0,4250602,45,2,546000,0,0,0,1,0
0,4250702,45,2,546000,0,0,0,1,0
0,4250802,45,2,546000,0,0,0,1,0
0,4250902,45,2,546000,0,0,0,1,0
0,4251002,45,2,546000,0,0,0,1,0
0,4251102,45,2,546000,0,0,0,1,0
0,4251302,75,3,819000,0,0,0,1,0
0,4251402,75,3,819000,0,0,0,1,0
0,4001174,45,1,0,4031966,0,0,1,0
0,4001175,50,1,0,4031967,0,0,1,0
0,4001176,55,1,0,4031968,0,0,10,0
0,4001177,60,1,0,4031969,0,0,100,0
0,4001178,65,1,0,4031970,0,0,5,0
0,4001179,70,1,0,4031971,0,0,7,0
0,4001180,75,2,0,4031972,0,0,1,0
0,4001181,80,2,0,4031973,0,0,1,0
0,4001182,85,2,0,4031974,0,0,6,0
0,4001183,90,2,0,4031975,0,0,30,0
0,4001184,95,2,0,4031976,0,0,2,0
0,4001185,100,2,0,4031977,0,0,1,0
0,4031980,105,2,0,4031979,0,0,1,0
0,4001186,105,3,0,4031978,0,0,1,0
0,4032334,150,1,0,0,0,0,1,0
0,4032312,70,1,0,0,0,0,1,0
0,2041058,50,1,55000,0,1122013,0,1,0
0,2040727,50,1,55000,0,1122013,0,1,0
1,1002028,45,1,55000,0,0,4130018,1,1
1,1002085,45,1,50000,0,0,4130018,1,1
1,1002086,45,1,41000,0,0,4130018,1,1
1,1002022,50,1,60000,0,0,4130018,1,1
1,1002100,50,1,60000,0,0,4130018,1,1
1,1002101,50,1,60000,0,0,4130018,1,1
1,1002029,55,1,82000,0,0,4130018,1,1
1,1002084,55,1,82000,0,0,4130018,1,1
1,1002030,65,1,93000,0,0,4130018,1,1
1,1002094,65,1,93000,0,0,4130018,1,1
1,1002095,65,1,93000,0,0,4130018,1,1
1,1002338,75,2,146000,0,0,4130018,1,2
1,1002339,75,2,146000,0,0,4130018,1,2
1,1002340,75,2,146000,0,0,4130018,1,2
1,1002528,85,2,161000,0,0,4130018,1,2
1,1002529,85,2,161000,0,0,4130018,1,2
1,1002530,85,2,161000,0,0,4130018,1,2
1,1002531,85,2,161000,0,0,4130018,1,2
1,1002532,85,2,161000,0,0,4130018,1,2
1,1002377,95,2,184000,0,0,4130018,1,2
1,1002378,95,2,184000,0,0,4130018,1,2
1,1002379,95,2,184000,0,0,4130018,1,2
1,1002551,105,3,308000,0,0,4130018,1,3
1,1002790,115,3,352000,0,0,4130018,1,3
1,1002776,115,3,352000,0,0,4130018,1,3
1,1040087,45,1,41000,0,0,4130019,1,1
1,1040088,45,1,41000,0,0,4130019,1,1
1,1040089,45,1,41000,0,0,4130019,1,1
1,1041087,45,1,41000,0,0,4130019,1,1
1,1041088,45,1,41000,0,0,4130019,1,1
1,1041089,45,1,41000,0,0,4130019,1,1
1,1040090,55,1,50000,0,0,4130019,1,1
1,1040091,55,1,50000,0,0,4130019,1,1
1,1040092,55,1,50000,0,0,4130019,1,1
1,1040093,55,1,50000,0,0,4130019,1,1
1,1041091,55,1,50000,0,0,4130019,1,1
1,1041092,55,1,50000,0,0,4130019,1,1
1,1041093,55,1,50000,0,0,4130019,1,1
1,1040102,65,1,55000,0,0,4130019,1,1
1,1040103,65,1,55000,0,0,4130019,1,1
1,1040104,65,1,55000,0,0,4130019,1,1
1,1041097,65,1,55000,0,0,4130019,1,1
1,1041098,65,1,55000,0,0,4130019,1,1
1,1041099,65,1,55000,0,0,4130019,1,1
1,1040111,85,2,123000,0,0,4130019,1,2
1,1040112,85,2,123000,0,0,4130019,1,2
1,1040113,85,2,123000,0,0,4130019,1,2
1,1041119,85,2,146000,0,0,4130019,1,2
1,1041120,85,2,146000,0,0,4130019,1,2
1,1041121,85,2,146000,0,0,4130019,1,2
1,1040120,95,2,153000,0,0,4130019,1,2
1,1040121,95,2,153000,0,0,4130019,1,2
1,1040122,95,2,153000,0,0,4130019,1,2
1,1041122,95,2,153000,0,0,4130019,1,2
1,1041123,95,2,153000,0,0,4130019,1,2
1,1041124,95,2,153000,0,0,4130019,1,2
1,1060076,45,1,33000,0,0,4130020,1,1
1,1060077,45,1,33000,0,0,4130020,1,1
1,1060078,45,1,33000,0,0,4130020,1,1
1,1061086,45,1,33000,0,0,4130020,1,1
1,1061087,45,1,33000,0,0,4130020,1,1
1,1061088,45,1,33000,0,0,4130020,1,1
1,1060079,55,1,41000,0,0,4130020,1,1
1,1060080,55,1,41000,0,0,4130020,1,1
1,1060081,55,1,41000,0,0,4130020,1,1
1,1060082,55,1,41000,0,0,4130020,1,1
1,1061090,55,1,41000,0,0,4130020,1,1
1,1061091,55,1,41000,0,0,4130020,1,1
1,1061092,55,1,41000,0,0,4130020,1,1
1,1060090,65,1,50000,0,0,4130020,1,1
1,1060091,65,1,50000,0,0,4130020,1,1
1,1060092,65,1,50000,0,0,4130020,1,1
1,1061096,65,1,50000,0,0,4130020,1,1
1,1061097,65,1,50000,0,0,4130020,1,1
1,1061098,65,1,50000,0,0,4130020,1,1
1,1060100,85,2,107000,0,0,4130020,1,2
1,1060101,85,2,107000,0,0,4130020,1,2
1,1060102,85,2,107000,0,0,4130020,1,2
1,1061118,85,2,130000,0,0,4130020,1,2
1,1061119,85,2,130000,0,0,4130020,1,2
1,1061120,85,2,130000,0,0,4130020,1,2
1,1060109,95,2,138000,0,0,4130020,1,2
